,fa_threshold,turning_angle,track_voxel_ratio,n_tractos_reales,media_conectividad,desviacion_tipica,n_conexiones,coef_variacion,densidad_relativa
fa_threshold,1.0,-0.05507096945928818,0.017012687427912343,-0.8940985060706932,-0.9541950690996227,-0.9063484050094438,-0.9937547184895044,0.992818279871213,-0.9937547184895044
turning_angle,-0.05507096945928818,1.0,-0.010560895194031621,-0.02516226810332249,0.15280534461213083,0.12282271863460863,0.11870701300574536,-0.11718289992179497,0.11870701300574536
track_voxel_ratio,0.017012687427912343,-0.010560895194031621,1.0,0.37282927711232805,0.18975333650221568,0.30581512409445694,-0.025245611881087454,0.006533279434000337,-0.025245611881087454
n_tractos_reales,-0.8940985060706932,-0.02516226810332249,0.37282927711232805,1.0,0.9570708283313325,0.9765666266506603,0.8829235507683281,-0.8915726290516206,0.8829235507683281
media_conectividad,-0.9541950690996227,0.15280534461213083,0.18975333650221568,0.9570708283313325,1.0,0.9838655462184874,0.9568766818562877,-0.9628331332533013,0.9568766818562877
desviacion_tipica,-0.9063484050094438,0.12282271863460863,0.30581512409445694,0.9765666266506603,0.9838655462184874,1.0,0.9077986948615508,-0.9159663865546218,0.9077986948615508
n_conexiones,-0.9937547184895044,0.11870701300574536,-0.025245611881087454,0.8829235507683281,0.9568766818562877,0.9077986948615508,1.0,-0.9970706888177306,1.0
coef_variacion,0.992818279871213,-0.11718289992179497,0.006533279434000337,-0.8915726290516206,-0.9628331332533013,-0.9159663865546218,-0.9970706888177306,1.0,-0.9970706888177306
densidad_relativa,-0.9937547184895044,0.11870701300574536,-0.025245611881087454,0.8829235507683281,0.9568766818562877,0.9077986948615508,1.0,-0.9970706888177306,1.0
